code,title,credits,description,prerequisites
IL 6484,Supply Chain Lab V,1,"This course integrates supply chain management techinques in the region through readings, case studies, meetings, and site visits.  Typically Supply Chain Lab V focuses on Mexico and NAFTA.  Credit not allowed for both IL 6484 and",Credit restriction: IL 6484 and; Graduate standing required; IL 6484 and
IL 8801,Special Topics,1,,
INTN 2000,Professional Internship,12,Academic related professional work experience.,
INTN 2003,P/T Professional Internship,3,Supervised professional work experience in the United States for undergraduate freshman or sophomore interns working 10-19 hours a week in their major field of study for a semester.,
INTN 2006,Supervised Work Experience,6,Supervised domestic work experience for freshmen and sophomore interns working 20-29 hours per week in their major field of study for a semester.,
INTN 2009,Supervised Work Experience,9,Supervised domestic work experience for freshmen and sophomore interns working 30 to 35 hours per week in their major field of study for a semester.,
INTN 3011,International Internship Experience,12,Undergradute interns working outside the United States.,
INTN 3013,International Internship,3,Supervised professional international experience for undergraduate interns working abroad full-time in their major field of study for approximately 25% of a semester.,
INTN 3016,International Internship Experience,6,Supervised professional international experience for undergraduate interns working abroad full-time in their major field of study for approximately 50% of a semester.,
INTN 3019,International Internship Experience,9,Supervised professional international experience for undergraduate interns working abroad full-time in their major field of study for approximately 75% of a semester.,
INTN 4000,Professional Internship,12,Academic related professional work experience.,
INTN 4003,P/T Professional Internship,3,Supervised professional work experience in the United States for undergraduate junior or senior interns working 10-19 hours a week in their major field of study for a semester.,
INTN 4006,Supervised Work Experience,6,Supervised domestic work experience for junior or senior interns working 20-29 hours per week in their major field of study for a semester.,
INTN 4009,Supervised Work Experience,9,Supervised domestic work experience for junior or senior interns working 30-35 hours per week in their major field of study for a semester.,
INTN 6003,Graduate Internship Program,3,Supervised work experience for Master’s and Ph.D. student interns working 6 - 9 hours per week in their field of study; suitable for part-time GRAs and GTAs.,Graduate standing required
INTN 6004,Graduate Internship Program Part Time,4,Supervised work experience for Master’s and Ph.D. student interns working 10 - 15 hours per week in their field of study for a semester.,Graduate standing required
INTN 6006,Graduate Internship Program Half-Time,6,Supervised work experience for Master’s and Ph.D. student interns working 16 - 20 hours per week in their field of study for a semester.,Graduate standing required
INTN 6009,Graduate Internship Program Less Than Full Time,9,Supervised work experience for Master’s and Ph.D. student interns working 21-31 hours per week in their field of study for a semester.,Graduate standing required
INTN 6012,Graduate Internship Program,12,Supervised work experience for Master’s and Ph.D. student interns working 32 - 40 hours per week in their field of study for a semester.,Graduate standing required
IMBA 6000,Strategic Decision Making and Compromise Game,1,"A multifirm, competitive management simulation.  The objective is to sharpen intra-firm communications skills using the internet as the communications channel and the art of compromise.",Graduate standing required
IMBA 6010,Cross-cultural Communications for Management,2,Participants learn tools and information to improve communications skills with new approaches and increased understanding while taking into account the effects of cross-cultural differences on communications.,Graduate standing required
IMBA 6021,Data Analysis for Business,2,"Covers common statistical tools for the analysis of corporate data such as descriptive statistics, probability concepts, sampling and estimation, hypothesis testing, and regression analysis.",Graduate standing required
IMBA 6030,Organizational Behavior and Theory,3,Students learn the basic concepts and principles of organizational behavior and utilize such to analyze and solve organizational decision-making problems.,Graduate standing required
IMBA 6031,Leadership and Organizational Behavior,2,"This course focuses on the challenges in leading teams and organizations in increasingly complex, global, and dynamic business environments.",Graduate standing required
IMBA 6032,Leadership and Organizational Behavior,3,"This course focuses on the challenges in leading teams and organizations in increasingly complex, global, and dynamic business environments.",Graduate standing required
IMBA 6040,Economic Analysis of Decisions in a Global Economy,3,Participants are provided with a non-traditional approach using an analytical method with a global perspective to the concepts and role of economics in the world environment.,Graduate standing required
IMBA 6050,Financial and Managerial Accounting,3,"Course covers financial reporting and analysis issues facing firms, and managerial accounting information necessary for planning, controlling, and decision making within such firms.",Graduate standing required
IMBA 6061,Information Systems for Global Organizations,2,Tools and techniques to manage the information technology infrastructure that supports a global organization.,Graduate standing required
IMBA 6070,Managerial Finance in World Markets,4,A two-part course providing an understanding of finance concepts and how they are used.  The course then further integrates international and ethical considerations wherever applicable.,Graduate standing required
IMBA 6071,Financial Management,3,"An introduction to finance. Topics include time value of money, capital budgeting, risk and return, capital structure, dividend policy, and working capital management.",Graduate standing required
IMBA 6081,Manufacturing and Service Management,2,Covers the basic conceptual and analytical skills that are required in managing operations and confronting operational problems in competitive markets.,Graduate standing required
IMBA 6090,Managing Marketing,3,Students are provided with an understanding of marketing and consumer behavior concepts and tools with an international environment approach.,Graduate standing required
IMBA 6101,Product Strategies for Global Markets,2,Developing and marketing new products and services with an emphasis on international markets.,Graduate standing required
IMBA 6110,Risk Management and Technology Transfer,2,"A course based upon a combination of cases, historical data, and theoretical interpretation on the analysis and allocation of risk in international investment and technology transfer.",Graduate standing required
IMBA 6121,Managing the Global Workforce,2,A survey of global workforce management principles and the skills necessary to function effectively in a supervisory role in a global organization.,Graduate standing required
IMBA 6132,Strategy,3,Integrate knowledge of the functional areas of a business to understand how firms gain and sustain a competitive advantage in a globally competitive environment.,Graduate standing required
IMBA 6140,Competing Globally,2,This course utilizes case studies of companies in various industries and in national cultures to highlight organizational and cultural differences between major economies in the global environment.,Graduate standing required
IMBA 6150,Entrepreneurship and Entrepreneurial Firms,1,Participants explore the increasing importance of small and medium-sized businesses and new ventures in international business.,Graduate standing required
IMBA 6160,National and International Regulation of Business,2,Deals with learning how to control the legal aspects of international decisions.,Graduate standing required
IMBA 6170,"Quality, Sustainable Technology, Competitiveness",1,Students learn the philosophy and techniques of strategic quality management while focusing on assessment and group decisions centered on sustaining technology and competitiveness.,Graduate standing required
IMBA 6180,Leadership Skills and Processes,1,Focuses on identifying and developing the attributes of successful leadership.,Graduate standing required
IMBA 6200,Strategic Business Simulation,2,A unifying course providing a simulated application of the material taught in the core courses of the program.,Graduate standing required
IMBA 6210,Analysis of Emerging Technology,2,"A case-based course dealing with the role and impact of digital technology in large and small organizations, with special emphasis on multinational companies.",Graduate standing required
IMBA 6220,Applied Entrepreneurship Seminar,1,A case course building an information bank of theory and practice on start-up enterprises.  Several entrepreneurs will co-teach the course with a faculty leader.,Graduate standing required
IMBA 6230,International Business Negotiations,1,A role-play course involving the complex international negotiation simulation dealing with an international business enterprise and its relationship with one or more governments.,Graduate standing required
IMBA 6250,International Finance,2,"Analysis of foreign exchange markets, exchange rate risk management, international portfolio investments, international asset pricing, cross-border M&A, and equilibrium conditions in international markets.",Graduate standing required
IMBA 6260,Global Supply Chain and Electronic Commerce,2,"Examines business, managerial and economic issues in the management of global supply chains and the role of electronic commerce in the supply chain.",Graduate standing required
IMBA 6300,Analysis of Global Environments I,2,"Analysis of a specific region through an international study tour with emphasis on understanding the economy, culture and business environment.",Graduate standing required
IMBA 6301,Analysis of Global Environments,2,"Analysis of a specific region through an international study tour with emphasis on understanding its economy, culture and business environment.",Graduate standing required
IMBA 6310,Analysis of Global Environments II,3,"Analysis of a specific region through an international study tour with emphasis on understanding the economy, culture and business environment.",Graduate standing required
IMBA 6400,Global Strategy Project I,1,Students work on a real world problem related to global strategy.  The focus in this course is on data collection and problem definition.,Graduate standing required
IMBA 6401,Global Strategy Project I,2,"Students work on a real world problem related to global strategy. The focus in this course is on problem definition, data collection and client engagement management.",Graduate standing required
IMBA 6410,Global Strategy Project II,1,Students work on a real world problem related to global strategy.  The focus in this course is on defining a preliminary solution that has desirable characteristics.,Graduate standing required
IMBA 6411,Global Strategy Project II,2,"Students work on a real world problem related to global strategy. The focus in this course is on problem definition, data collection and client engagement management.",Graduate standing required
IMBA 6420,Global Strategy Project II,2,Students work on a real world problem related to global strategy.  The focus in this course is on defining and presenting a comprehensive solution.,Graduate standing required
IMBA 6430,Business Strategies for Sustainability,2,Cross-functional strategies to address competitive and regulatory demands placed on firms for achieving sustainable business practices.,Graduate standing required
IAC 2001,Global Religions and Community Engagement,3,This course prepares students for leadership in a multi-faith society through the study of global religions and active engagement with diverse religious communities of Atlanta.,
IAC 2002,"Science, Engineering, and Religion: An Interfaith Dialogue",3,"This course gathers diverse students serious about faith to explore topics at the intersection of science, engineering, and religion.",
IAC 2801,Special Topics in IAC,1,Special Topics in IAC.,
IAC 2803,Special Topics in IAC,3,Special Topics courses for IAC.,
IAC 2813,Special Topics in IAC,3,Special Topics courses in IAC.,
IAC 3803,Special Topics in IAC,3,Special Topics courses in IAC.,
IAC 3813,Special Topics in IAC,3,Special Topics courses in IAC.,
IAC 4803,Special Topics in IAC,3,Special Topics courses in IAC.,
IAC 4811,Special Topics in IAC,1,Special Topics in IAC.,
IAC 4813,Special Topics in IAC,3,Special Topics courses in IAC.,
JAPN 1001,Elementary Japanese I,4,"Introduction to listening, speaking, reading, and writing in Japanese and to the culture of Japanese-speaking regions.",
JAPN 1002,Elementary Japanese II,4,"Continued listening, speaking, reading, and writing in Japanese with further study of the culture of Japanese-speaking regions. JAPN 10X1.  Trans Elementary Japanese I.  3 Credit Hours. JAPN 10X2.  Trans Elementary Japanese II.  3 Credit Hours.",
JAPN 1813,Special Topics,3,Permits a group of students to pursue areas of the Japanese language and culture not extensively treated in other courses.,
JAPN 1814,Special Topics,4,Topics of current interest in Japanese.,
JAPN 1815,Special Topics,5,,
JAPN 1816,Special Topics,6,Permits a group of students to pursue areas of the Japanese language and culture not extensively treated in other courses. JAPN 1XXX.  Japanese Elective.  1-21 Credit Hours.,
JAPN 2001,Intermediate Japanese I,3,"A rapid review of grammar with continued use of listening, speaking, reading, and writing skills in Japanese, all with a cultural emphasis.",
JAPN 2002,Intermediate Japanese II,3,"This course focuses on listening, speaking, reading, and writing skills in Japanese in an introduction to literature and within a cultural context.",
JAPN 2813,Special Topics,3,Topics of current interest in Japanese. JAPN 2XXX.  Japanese Elective.  1-21 Credit Hours.,
JAPN 3001,Advanced Japanese I,3,Learn advanced grammar structures and develop the ability to produce longer conversations involving complex styles and levels of speech.  More kanji.,
JAPN 3401,Popular Culture in Japan,3,"This course introduces students to Japanese society, history, and language through popular culture. Repeatable for credit if taken with different course theme. Taught in English.",
JAPN 3500,Intermediate Japanese Reading and Writing,3,This course enhances students’ literacy through reading and writing exercises while cultivating insights into current Japanese socio-cultural issues. Taught in Japanese.,
JAPN 3691,Technical and Scientific Japanese,3,Reading of intermediate/advanced technical and scientific Japanese texts. Analysis and discussion of scientific issues in society. Part of the Japanese intensive summer language program. Admission by application only.,
JAPN 3692,Business Japanese,3,"Acquisition of business terminology, protocols, decorum strategies, and improvement of oral communication skills. Reading and writing of notes, correspondence, and reports. Part of the Japanese intensive summer language program. Admission by application only.",
JAPN 3693,Japan Today,3,Development of awareness toward cultural differences and potential communication problems through exploration of current socio-economic and corporate-cultural issues in Japan. Part of the Japanese intensive summer language program. Admission by application only.,
JAPN 3694,Conversation Practicum,3,Students practice conversations with native Japanese speakers to expand the repertoire of active vocabulary and grammar patterns and improve their conversational skills. Taught in Japanese.,
JAPN 3700,Japanese Readings on Sustainability Issues and Societal Changes,3,"Through extensive and intensive readings on sustainability and social changes in Japan, students will analyze and evaluate those topics in Japanese. Taught in Japanese.",
JAPN 3811,Special Topics,1,Topics of current interest in Japanese.,
JAPN 3812,Special Topics,2,,
JAPN 3813,Special Topics,3,Topics of current interest in Japanese.,
JAPN 3823,Special Topics,3,Topics of current interest in Japanese.,
JAPN 3833,Special Topics,3,Topics of current interest in Japanese. JAPN 3XXX.  Japanese Elective.  1-21 Credit Hours.,
JAPN 4113,Advanced reading and Listening in Japanese,3,This course introduces advanced grammar and stylistic and idiomatic expressions in Japanese in both written and spoken contexts on a wide range of topics.,
JAPN 4123,Technical and Business Japanese Translation,3,This is an applied language course that provides practical experience in translating technical and business documents to and from Japanese.,
JAPN 4163,Introduction to Japanese Literature and Culture,3,This is an introductory course in Japanese literature and culture where students read and interpret authentic literary texts and learn and discuss key cultural concepts. Conducted in Japanese.,
JAPN 4165,Critical Readings in Japanese Culture and Arts,3,This course helps improve reading skills of advanced learners by analyzing various written texts on topics of culture and society.  Taught in Japanese.,
JAPN 4173,Japanese Culture and Society through Anime,3,"Students will be able to appreciate anime's significance in historical, societal and cultural contexts, as well as the aesthetic quality of its form.  Taught in Japanese.",
JAPN 4183,Japanese Culture and Society through Songs,3,"Students will be exposed to songs in different historical, societal and cultural contexts of Japan, and appreciate their aesthetic quality. Taught in Japanese.",
JAPN 4193,Japanese Culture & Society through Documentaries,3,"The course explores Japanese culture, language, society, and history through documentary films. Taught in Japanese.",
JAPN 4231,Designing Websites in Japanese,3,This course provides instruction in text input in Japanese and explores language and intercultural communication issues when designing Web pages in Japanese.  Taught in Japanese.,
JAPN 4233,CALI Pedagogy for Japanese,3,This course explores pedagogical issues in designing Computer-Assisted Language Instruction (CALI) programs for teaching Japanese.  Taught in Japanese.,
JAPN 4235,3D RPG Development for Japanese Instruction,3,"This course explores pedagogical issues in designing Japanese instructional materials based on the 3D, RPG platform of Second Life.  Taught primarily in Japanese. Prerequisites:  JAPN 3002 ( JAPN 4231 and JAPN 4233 are highly recommended).",JAPN 3002 ( JAPN 4231 and JAPN 4233 are highly recommended); JAPN 3002 ( JAPN 4231 and JAPN 4233 are highly recommended); highly recommended); JAPN 3002 ( JAPN 4231 and JAPN 4233 are highly recommended)
JAPN 4500,Advanced Intercultural Seminar,3,Integrates cross-cultural research and reflection into discussion of current issues in Japan.  Intended for students who have had some study-abroad experience in Japan. Conducted mostly in Japanese.,
JAPN 4543,Advanced Japanese for NLP Development,3,"This course will explore advanced linguistic, semantic and pragmatic issues unique to Japanese required for developing an NLP system of text-based Japanese.",
JAPN 4743,Japanese Society and Politics,3,"Surveys key aspects of Japanese society and politics through the use of Japanese language readings, films, and other instructional materials. Course taught mostly in Japanese. Crosslisted with INTA 4743 .",INTA 4743
JAPN 4750,Japanese Discourse and Grammar,3,"This course is about Japanese spoken and written discourse, designed for acquiring skills for managing interpersonal relationships through advanced discourse.",
JAPN 4780,Japanese Applied Linguistics,3,"This course helps develop analytical skills to better understand human languages, particularly English and Japanese.  Credit not allowed for both JAPN 4780 and LING 4780 .",Credit restriction: JAPN 4780 and LING 4780; JAPN 4780 and LING 4780
JAPN 4813,Special Topics,3,Topics of interest not covered in the regular course offerings.,
JAPN 4823,Special Topics,3,Topics of current interest in Japanese.,
JAPN 4833,Special Topics,3,Topics of current interest in Japanese.,
JAPN 6080,Japanese Applied Linguistics for Graduate Students,3,"This course examines current linguistic theories as applied to Japanese in order to acquire analytical skills to better understand human languages, particularly Japanese and English.",Graduate standing required
JAPN 6123,Technical and Business Japanese Translation,3,The course focuses on theories and practice of technical and business Japanese translation. Taught in Japanese.,Graduate standing required
JAPN 6173,Culture and Society through Anime,3,"Students will be able to appreciate anime's significance in historical, societal and cultural contexts, as well as the aesthetic quality of its form. Taught in Japanese.",Graduate standing required
JAPN 6183,Songs: Culture & Society,3,"Students will be able to appreciate anime's significance in historical, societal and cultural contexts, as well as the aesthetic quality of its form. Taught in Japanese.",Graduate standing required
JAPN 6193,Japanese Culture & Society through Documentaries,3,"The course explores Japanese culture, language, society, and history through documentary films. Taught in Japanese.",Graduate standing required
JAPN 6231,Japanese Website Design,3,Students will learn how social media is reshaping BSC communication in Japan and explore intercultural communication issues in designing Websites. Taught in Japanese.,Graduate standing required
JAPN 6500,Intercultural Seminar,3,Integrates cross-cultural research and reflection into discussion of current issues in Japan. For students who have had some study/work-abroad experience in Japan. Conducted in Japanese.,Graduate standing required
JAPN 6503,Professional Portfolio Development,3,Preparation of a professional portfolio connecting experiences and coursework in the MS program towards career preparation. Conducted in Japanese.,Graduate standing required
JAPN 6510,Applied Language Practicum,3,"Students will serve as researchers, student aides and apprentice instructors for any 3/4000-level undergraduate course approved by their adviser and the course.",Graduate standing required
JAPN 6511,Applied Language Practicum Abroad,3,Students serve as researchers and apprentice instructors in the LBAT or other faculty-led overseas language immersion program of the School of Modern Languages.,Graduate standing required
JAPN 6750,Japanese Discourse and Grammar,3,"The course is designed to improve students’ knowledge of Japanese discourse and grammar through activities using TV drama clips, documentaries, and newspaper which are related to some of SDGs. Taught in Japanese.",Graduate standing required
JAPN 8803,Special Topics,3,Topics of current interest not covered in the regular course offerings.,Graduate standing required
JAPN 8804,Special Topics,4,Special Topics in Japanese.,Graduate standing required
KOR 1001,Elementary Korean I,4,"Introduction to listening, speaking, reading, and writing in Korean and to the culture of Korean-speaking regions.",
KOR 1002,Elementary Korean II,4,"Continued listening, speaking, reading, and writing in Korean with further study of the culture of Korean-speaking regions. KOR 10X1.  Trans Elementary Korean I.  3 Credit Hours. KOR 10X2.  Trans Elementary Korean II.  3 Credit Hours.",
KOR 1813,Special Topics,3,Topics of current interest in Korean.,
KOR 1814,Special Topics,4,Topics of current interest in Korean. KOR 1XXX.  Korean Elective.  1-21 Credit Hours.,
KOR 2001,Intermediate Korean I,3,"A rapid review of grammar with continued use of listening, speaking, reading, and writing skills in Korean, all with a cultural emphasis.",
KOR 2002,Intermediate Korean II,3,"This course focuses on listening, speaking, reading, and writing skills in Korean in an introduction to literature and within a cultural context.",
KOR 2691,Intensive Intermediate Korean I,3,This course teaches students an intermediate level Korean intensively during the summer LBAT study-abroad period in an immersed environment in Korea.,
KOR 2692,Intensive Intermediate Korean II,3,This course teaches students an intermediate level Korean intensively during the summer LBAT study-abroad period in an immersed environment in Korea.,
KOR 2813,Special Topics,3,Topics of current interest in Korean.,
KOR 2823,Special Topics,3,Topics of current interest in Korean. KOR 2XXX.  Korean Elective.  1-21 Credit Hours.,
KOR 3001,Advanced Korean I,3,"Development of richer perspectives about Korean culture and enhanced skills in reading, writing, and vocabulary. Conducted in Korean.",
KOR 3002,Advanced Korean II,3,"Further development of richer perspectives about Korean culture and enhanced skills in reading, writing, and vocabulary.  Conducted in Korean.",
KOR 3100,Korean Conversation  and Culture,3,The course will focus on developing students’ conversation skills and grammatical knowledge required for 3000-level courses or higher. Taught in Korean.,
KOR 3410,Korean Culture: Old and New,3,"Comparison and contrast of aspects of the past and present. Topics include politics, music, the family, popular culture, war and many others. Taught in English.",
KOR 3415,"Korea in Media: K-Pop, Film, and Drama",3,"This course addresses key features of Korean society from the 1960s to the present day through K-Pop, film, and drama. Taught in English.",
KOR 3691,Business Korean,3,This course aims to improve oral/written communication skills in business situations in Korea.  Taught in Korean; part of Korean intensive summer language program.,
KOR 3692,Current Issues and Technology in Korea,3,This course introduces key terms and discusses advances in technology and science in Korea today.  Taught in Korean; part of Korean intensive summer language program.,
KOR 3693,Exploring Modern Korea,3,This course equips students to understand contemporary Korea through reading and discussion about contemporary topics.  Taught in Korean; part of Korean intensive summer language program.,
KOR 3811,Special Topics,1,Topics of current interest in Korean.,
KOR 3812,Special Topics,2,Topics of current interest in Korean.,
KOR 3813,Special Topics,3,Topics of current interest in Korean.,
KOR 3823,Special Topics,3,Topics of current interest in Korean.,
KOR 3833,Special Topics,3,Topics of current interest in Korean.,
KOR 3843,Special Topics,3,Topics of current interest in the Korean languages. KOR 3XXX.  Korean Elective.  1-21 Credit Hours.,
KOR 4001,Contemporary Korean,3,This course aims to further the students' knowledge by exposing them to accurate and contemporary expressions in text and multimedia materials.  Taught in Korean.,
KOR 4002,Selected Readings Of Modern Korean,3,"This course aims to enhance students' Korean skills through advanced reading and comprehension, translation, grammar, and writing practice.  Taught in Korean.",
KOR 4060,Media and Public Culture,3,This is a debating course designed for students who have completed advanced Korean or have demonstrated an equivalent proficiency level. Taught in Korean.,
KOR 4150,Korean Service-Learning in the Korean Community,3,This class combines classroom discussion with community service projects to allow students to study Korean cultures and practice Korean with native speakers. Conducted in Korean.,
KOR 4500,Intercultural Seminar,3,"Enhancement of students' skills and understanding of intercultural communication, skills, and behaviors for globalized business, research, and politics related to South Korea. Taught in Korean.",
KOR 4691,Korean Society,3,"This course aims to develop students’ understanding of Korean society and culture through lectures, discussion, cultural site visits, and field work activities.  Taught in Korean.",
KOR 4692,Korean Industry,3,This intensive course is designed to enhance students’ intercultural understanding of Korean industry and cultural influence. Taught in Korean.,
KOR 4813,Special Topics,3,Topics of current interest in Korean.,
KOR 4823,Special Topics,3,Topics of current interest in Korean.,
KOR 4833,Special Topics,3,Topics of current interest in Korean.,
KOR 6001,Contemporary Korean,3,This course aims to further the students' knowledge by exposing them to contemporary expressions in text and multimedia materials in Korean. Taught in Korean.,Graduate standing required
KOR 6060,Media and Public Culture Korean,3,The course focuses on analysis of Korean media. Offered in Korean.,Graduate standing required
KOR 6500,Intercultural Seminar Korean,3,"This course aims to develop student’s cultural fluency, communication skills and competences required in a globalized context of business, research, and politics. Taught in Korean.",Graduate standing required
KOR 6510,Language Practicum Korean,3,"Students will serve as researchers, student aides and apprentice instructors for a 3000- or 4000-level undergraduate course approved by their adviser.",Graduate standing required
KOR 6511,Language Practicum Abroad Korean,3,"Students will serve as researchers, student aides and apprentice instructors for a 3000- or 4000-level undergraduate course approved by their adviser and the course.",Graduate standing required
KOR 8803,Special Topics,3,Special Topics in Korean Language and Literature.,Graduate standing required
KOR 8804,Special Topics,4,Special Topics in Korean.,Graduate standing required
LS 0198,Reading Skills,3,"Development of reading comprehension and speed, vocabulary, and study skills.  Review of grammar and usage.",
LS 0298,English Skills,3,"Development of basic skills used in writing the sentence, paragraph, and short essay. Development of reading speed.",
LS 0398,Mathematical Skills,3,Intense review of arithmetic and algebra skills.  Development of mathematics study skills.,
LING 1813,Special Topics,3,Topics of current interest in Linguistics. LING 1XXX.  Linguistics Elective.  1-21 Credit Hours.,
LING 2100,Introduction to Linguistics,3,"Introductory course that surveys various fields in linguistics, including first/second language acquisition, phonetics/phonology, morphology/syntax, semantics/pragmatics, language variation, computational linguistics/natural language processing, and writing systems.  Credit not allowed for both LING 2100 and",Credit restriction: LING 2100 and; LING 2100 and
LING 2813,Special Topics,3,Topics of current interest in Linguistics. LING 2XXX.  Linguistics Elective.  1-21 Credit Hours.,
LING 3100,Applications of Linguistics,3,"Explores the relation of language (and linguistic theories) to real-world domains including language acquisition, education, gender, advertising, politics, law, and medicine.  Taught in English.",
LING 3811,Special Topics,1,Topics of current interest in Linguistics.,
LING 3812,Special Topics,2,Topics of current interest in Linguistics.,
LING 3813,Special Topics,3,Permits students to work in languages not treated in other courses and/or engage in special language research.,
LING 3823,Special Topics,3,Topics of current interest in Linguistics.,
LING 3833,Special Topics,3,Topics of current interest in Linguistics. LING 3XXX.  Linguistics Elective.  1-21 Credit Hours.,
LING 4015,Advanced Language Processing,3,"This flexible course explores computational-, psycho-, or corpus linguistics (depending on instructor expertise).  Students read/present academic articles, process data using Python/R/Qualtrics, and pursue original projects.",
LING 4100,Language & Computers,3,"A linguistic perspective on language processing topics (search, vector semantics, document classification, digital humanities, translation, dialog). Students read current literature and implement concepts in Python.",
LING 4780,Japanese Applied Linguistics,3,"This course helps to develop analytical skills to better understand human languages, particularly English and Japanese.  Taught in English.  Credit not allowed for both LING 4780 and JAPN 4780 .",Credit restriction: LING 4780 and JAPN 4780; LING 4780 and JAPN 4780
LING 4813,Special Topics,3,Topics of interest not covered in the regular course offerings.,
LING 4823,Special Topics,3,Topics of current interest in Linguistics.,
LING 4833,Special Topics,3,Topics of current interest in Linguistics.,
LING 6015,Advance Topics in Language Processing,3,"This flexible course explores computational-, psycho-, or corpus linguistics (depending on instructor expertise).  Students read/present academic articles, process data using Python/R/Qualtrics, and pursue original projects.",Graduate standing required
LING 8803,Special Topics,3,"Special Topics in Linguistics language and literature,",Graduate standing required
LMC 2000,"Introduction to Literature, Media, and Communication",3,"An the introductory course to LMC, this course introduces students to key texts and modes of analysis associated with the study of literature, film, digital media, and communication.",
LMC 2050,"Seminar in Literature, Media, and Communication",3,"This course introduces second-semester majors to the intellectual movements, interpretive frameworks, and research skills central to the disciplines represented in LMC.",
LMC 2060,Introduction to Literary Studies,3,"Students will study literary and cultural texts, methods, and critical movements from a variety of perspectives and historical periods.",
LMC 2100,"Introduction to Science, Technology and Culture",3,"Relation to other courses, programs and curricula: As the introductory course to the LMC Science, Technology and Culture thread, this course explores the way in which disciplines construct and represent the knowledge they generate.",
LMC 2200,Introduction to Gender Studies,3,"This course introduces the cultural concept of gender, examining topics such as biology and gender, social constructions of gender, and the psychology of sexual roles.",
LMC 2350,Introduction to Social Justice,3,"Introduces students to the work and theory of social justice through readings from various disciplines, including literature, history, anthropology, philosophy, science, policy, and law.",
LMC 2400,Introduction to Media Studies,3,"This course offers an introduction to the historical development and cultural impact of various forms of media print, radio, television, film, and interactive electronic applications.",
LMC 2410,Introduction to Game Studies,3,Introduction to the games studies and game designs.,
LMC 2450,Introduction to Black Media Studies,3,"Introduces scholarship in Black Media Studies (BMS), which studies the relationships among media, culture, and racial politics by and about people of African descent.",
LMC 2500,Introduction to Film,3,"Introduces film techniques and vocabulary in an historical and cultural context. Written texts are supplemented by viewings of specific shots, scenes, and films.",
LMC 2500R,LMC 2500 Recitation,0,Film Screening for Introduction to Film.,
LMC 2600,Introduction to Performance Studies,3,"An examination of the origins of the field of performance studies in literary study of theatre and drama, anthropological investigations of ritual, and sociological analyses of performance in everyday life.",
LMC 2661,Theatre Production I,1,"In this hands-on course, students learn theatrical construction and painting techniques while building scenery for DramaTech productions.",
LMC 2662,Theatre Production II,1,"In this hands-on course, students create the lighting, property, and costume effects for two DramaTech Theatre productions.",
LMC 2700,Introduction to Computational Media,3,"Introduction to key concepts, methods, and achievements in computational media, and the convergence of digital technology with cultural traditions of representation.",
LMC 2720,Principles of Visual Design,3,Studio-based course that provides students with basic skills needed to create digital visual images and to analyze designs from historical and theoretical perspectives.,
LMC 2730,Constructing the Moving Image,3,"Provides the student with the conceptual, formal, aesthetic, and technical approaches to reconsider film, videos, and animation within the context of emerging digital forms.",
LMC 2823,Special Topics in Literature and Culture,3,"Examination of one or more topics of current interest in literary and cultural studies. LMC 2XXX.  Literature, Media, & Communication Elective.  1-21 Credit Hours.",
LMC 3062,Film Acting Workshop,3,A workshop-based introduction to screen acting and the acting profession for the student who is interested in participating in the film and television industries.,
LMC 3102,"Science, Technology, and the Classical Tradition",3,"Explores the definition and transmission of science and technology within Greek, Arabic, and medieval Latin contexts.",
LMC 3104,The Age of Scientific Discovery,3,"Examines the relationships among texts representing the literary, artistic, and scientific thought of the fifteenth and sixteenth centuries.",
LMC 3106,The Age of Scientific Revolution,3,"Examines interrelation of technological, literary, artistic, and philosophical thought in the late sixteenth and seventeenth centuries.",
LMC 3112,Evolution and the Industrial Age,3,"Connects later nineteenth century scientific and technological concepts and discoveries, particularly theories of evolution, to the literature and culture of the industrial age.",
LMC 3202,Studies in Fiction,3,"Examines the elements of fiction and what has made fiction, especially the novel, distinctive, popular, and enduring. Readings may include formal, cultural, and historical theories.",
LMC 3204,Poetry and Poetics,3,A study of traditions of poetic practice and poetic theory in English through intensive line by line readings of poems from different periods in literary history.,
LMC 3206,Communication and Culture,3,Examines ways in which forms and media of communication create and are created by other cultural constructs.,
LMC 3208,African American Literature and Culture,3,Explores the works of African American writers from the Colonial period to the present and examines a variety of cultural constructs that have fundamentally shaped the African American literary tradition.,
LMC 3209,Asian American Literature & Culture,3,Explores Asian American literary and cultural contributions since the nineteenth century through the lens of migration histories and global events foundational to Asian American experience.,
LMC 3210,Ethnicity in American Culture,3,"Explores literary and historical works considering ethnic issues in American culture, including immigration, social assimilation, ""double consciousness"", the development of ethnic identity/pride, and multiculturalism.",
LMC 3212,"Women, Literature, and Culture",3,Students in this course will analyze writings by women and examine feminist and other relevant cultural critiques of literature.,
LMC 3214,Science Fiction,3,Examines science fiction texts from the last 200 years to show how they reflect ambigous reactions to change.,
LMC 3215,Science Fiction Film and Television,3,This course investigates science fiction as the genre developed during film history and has become one of the most popular forms of television narrative.,
LMC 3215R,LMC 3215 Recitation,0,Film Screening for Science Fiction Film & Television.,
LMC 3219,Literature and Medicine,3,"This course examines works of literature dealing overtly with illness and healing, works about or by physicians and other caregivers, and works that raise questions about ethical behavior in the face of sickness.",
